worldtime,System_State,State_Machine,Reed_Timestamp0,Reed_Timestamp1,Reed_Timestamp2,Reed_Timestamp3,Device_Timestamp0,Device_Timestamp1,Device_Timestamp2,Device_Timestamp3,GM-302BLo,GM-302BHi,GM-502BLo,GM-502BHi,MQ137Lo,MQ137Hi,crc
2024-02-29 22:02:19.849095 ,16,4,0,0,0,0,106,142,224,101,30,9,20,11,101,2,148
2024-02-29 22:02:23.865097 ,16,4,0,0,0,0,110,142,224,101,249,8,245,10,89,2,51
2024-02-29 22:02:27.881045 ,16,4,0,0,0,0,114,142,224,101,215,8,218,10,80,2,108
2024-02-29 22:02:31.896409 ,16,4,0,0,0,0,118,142,224,101,186,8,192,10,74,2,106
2024-02-29 22:02:35.912362 ,16,4,0,0,0,0,122,142,224,101,159,8,169,10,68,2,23
2024-02-29 22:02:39.926437 ,16,4,0,0,0,0,126,142,224,101,135,8,149,10,63,2,21
2024-02-29 22:02:43.942392 ,16,4,0,0,0,0,130,142,224,101,112,8,129,10,58,2,30
2024-02-29 22:02:47.958407 ,16,4,0,0,0,0,134,142,224,101,91,8,111,10,54,2,234
2024-02-29 22:02:51.974459 ,16,4,0,0,0,0,138,142,224,101,72,8,95,10,50,2,28
2024-02-29 22:02:55.988185 ,16,4,0,0,0,0,142,142,224,101,54,8,80,10,47,2,189
2024-02-29 22:03:00.004174 ,16,4,0,0,0,0,146,142,224,101,38,8,65,10,44,2,17
2024-02-29 22:03:04.010089 ,16,4,0,0,0,0,150,142,224,101,23,8,52,10,42,2,56
2024-02-29 22:03:08.017101 ,16,4,0,0,0,0,153,142,224,101,9,8,39,10,40,2,62
2024-02-29 22:03:12.023314 ,16,4,0,0,0,0,157,142,224,101,252,7,28,10,38,2,238
2024-02-29 22:03:16.029450 ,16,4,0,0,0,0,161,142,224,101,240,7,17,10,34,2,240
2024-02-29 22:03:20.035407 ,16,4,0,0,0,0,165,142,224,101,228,7,6,10,32,2,66
2024-02-29 22:03:24.051474 ,16,4,0,0,0,0,169,142,224,101,217,7,252,9,32,2,233
2024-02-29 22:03:28.070282 ,16,4,0,0,0,0,173,142,224,101,207,7,241,9,32,2,216
2024-02-29 22:03:32.086251 ,16,4,0,0,0,0,177,142,224,101,196,7,233,9,32,2,71
